sgRNA	Gene	Clip2_6_E6_survival_BC20_IGO_09496_12_S12
C19orf43_48675	C19orf43	15
CRYGA_3969	CRYGA	9
STAG3_29016	STAG3	5
CGB8_56703	CGB8	28
MYT1L_31554	MYT1L	13
KLHL28_40643	KLHL28	44
ZNF736_74807	ZNF736	1
FOLR2_6539	FOLR2	47
TNFRSF1A_19382	TNFRSF1A	27
UCN3_57098	UCN3	9
PNLIPRP1_14298	PNLIPRP1	16
ZNF329_49594	ZNF329	48
ASXL2_42089	ASXL2	23
EFCAB14_26055	EFCAB14	17
DNAJC30_53321	DNAJC30	4
AEBP2_58404	AEBP2	9
CATSPERB_50048	CATSPERB	17
NET1_27600	NET1	31
MYCBPAP_52852	MYCBPAP	12
GBP1_6942	GBP1	22
DNAJC15_36484	DNAJC15	13
SNED1_34283	SNED1	12
CA1_2093	CA1	6
S1PR4_22716	S1PR4	23
TRIM41_55676	TRIM41	22
C14orf180_72190	C14orf180	30
NKX2-3_63286	NKX2-3	20
RNF157_57248	RNF157	20
LIPG_24682	LIPG	3
PCNX_31394	PCNX	48
C7orf55-LUC7L2_76283	C7orf55-LUC7L2	23
CCDC179_75814	CCDC179	7
CCT6A_2526	CCT6A	13
MRPL38_48320	MRPL38	1
ATP8A1_27946	ATP8A1	26
CCL2_16963	CCL2	33
ITPK1_9862	ITPK1	42
ARHGAP33_57537	ARHGAP33	65
PCDHB5_34711	PCDHB5	33
TMEM110-MUSTN1_76031	TMEM110-MUSTN1	8
AP4M1_24102	AP4M1	13
MTX3_69711	MTX3	25
AMY1A_761	AMY1A	13
GEMIN4_37289	GEMIN4	3
TLE6_50032	TLE6	74
LMNTD2_66750	LMNTD2	9
CIR1_25159	CIR1	9
FAM81A_61472	FAM81A	11
MPHOSPH10_27323	MPHOSPH10	5
C9orf24_54033	C9orf24	36
MUC17_60791	MUC17	34
RLN3_57984	RLN3	8
SH2D7_74149	SH2D7	52
NTF4_12882	NTF4	4
TPRN_68422	TPRN	12
PLEKHH2_59791	PLEKHH2	24
MRGPRE_57798	MRGPRE	48
SLC25A30_66307	SLC25A30	29
VRK2_20194	VRK2	6
LEMD1_56486	LEMD1	23
TMEM178A_59858	TMEM178A	12
CYP4B1_4409	CYP4B1	14
POU2AF1_14440	POU2AF1	27
OR5F1_68776	OR5F1	42
ZPR1_23289	ZPR1	11
TNNI3K_37747	TNNI3K	53
TMEM182_59878	TMEM182	6
KCMF1_44464	KCMF1	6
MALT1_29452	MALT1	11
TIMM9_35111	TIMM9	10
GLIPR1L2_61304	GLIPR1L2	15
GIT2_26062	GIT2	35
ATP1A3_1340	ATP1A3	21
CCR9_29217	CCR9	28
SMIM5_73740	SMIM5	53
KRTAP27-1_73844	KRTAP27-1	17
C9orf41_60561	C9orf41	16
GRK6_7641	GRK6	37
CR2_3843	CR2	17
RNF149_68009	RNF149	30
KLHL14_45861	KLHL14	12
ENPP6_60140	ENPP6	7
C14orf169_49669	C14orf169	13
S100A5_16731	S100A5	23
PTHLH_15371	PTHLH	5
TMEM184A_65020	TMEM184A	18
CORO7-PAM16_76109	CORO7-PAM16	15
SERP2_70912	SERP2	22
ZBED6_75766	ZBED6	17
NUTM1_66795	NUTM1	9
CSTF3_4163	CSTF3	11
PPP2R5D_14656	PPP2R5D	1
KCNK15_46973	KCNK15	13
ENTPD2_2683	ENTPD2	12
RNF7_25371	RNF7	15
RBM7_27265	RBM7	41
IST1_26016	IST1	12
MYOZ3_56080	MYOZ3	14
SFRP1_17176	SFRP1	37
IPO5_10296	IPO5	9
SLC25A43_65098	SLC25A43	9
HTR4_9049	HTR4	13
PER2_23235	PER2	26
PSPC1_42139	PSPC1	8
MIS18BP1_42309	MIS18BP1	10
SLC7A11_33433	SLC7A11	43
PPP1R3G_74208	PPP1R3G	36
ARCN1_1063	ARCN1	5
UBE2J2_58001	UBE2J2	5
OR2T29_69555	OR2T29	8
RNF19B_59373	RNF19B	53
SERBP1_34632	SERBP1	6
FAM3D_59921	FAM3D	22
CMTR2_43359	CMTR2	22
CRISP2_19537	CRISP2	17
ABCB1_13836	ABCB1	10
ZFP69B_48465	ZFP69B	34
INPPL1_9643	INPPL1	14
AHCTF1_34056	AHCTF1	17
ZNF653_57602	ZNF653	28
WDR6_30394	WDR6	14
DNAI2_47808	DNAI2	13
SNX22_50163	SNX22	26
TEX36_70825	TEX36	46
HSPB2_8963	HSPB2	16
CD300LB_58784	CD300LB	12
INCENP_9582	INCENP	9
PIGS_56626	PIGS	10
BZRAP1_24328	BZRAP1	11
KCNJ18_75493	KCNJ18	32
GLYR1_53948	GLYR1	7
SIGLEC1_17814	SIGLEC1	22
TMCC1_31487	TMCC1	27
SNX19_72172	SNX19	28
CD86_2633	CD86	37
SCYL3_45119	SCYL3	14
G6PC_6697	G6PC	9
NIPA1_58628	NIPA1	37
IMP3_42148	IMP3	1
SYT11_32080	SYT11	45
PPP1R10_14601	PPP1R10	49
LDHD_64500	LDHD	29
AGK_43243	AGK	7
KLHDC10_31444	KLHDC10	29
RANBP9_26827	RANBP9	25
NUDCD1_54604	NUDCD1	12
C12orf54_58351	C12orf54	15
PCDHB12_43959	PCDHB12	57
CDCA3_52141	CDCA3	9
BRMS1L_53445	BRMS1L	5
SH2D4A_47092	SH2D4A	10
OR5D16_71633	OR5D16	15
ACAP1_25823	ACAP1	32
SOX6_42650	SOX6	14
EXOC6_40171	EXOC6	19
TSPAN12_33154	TSPAN12	46
PRTG_67459	PRTG	16
ITGAL_9783	ITGAL	12
SELT_39356	SELT	16
FEM1A_42609	FEM1A	27
FKBP1A_6346	FKBP1A	9
PNMAL1_42007	PNMAL1	26
FGR_6318	FGR	45
USPL1_27357	USPL1	8
FNIP1_56764	FNIP1	7
ZNF806_74151	ZNF806	8
OR9A2_60379	OR9A2	30
CD93_31230	CD93	38
CACUL1_61171	CACUL1	16
TAPT1_64967	TAPT1	17
TMEM253_73793	TMEM253	8
LRP1B_39568	LRP1B	40
PCP2_59008	PCP2	9
LRCH4_10782	LRCH4	20
ZC3H7A_36371	ZC3H7A	10
ADAMTSL2_25728	ADAMTSL2	13
RARS2_44881	RARS2	4
ARHGAP11B_55148	ARHGAP11B	23
SELK_46653	SELK	10
RPLP0_16460	RPLP0	5
FBL_5793	FBL	2
HNRNPCL2_72964	HNRNPCL2	22
NKIRAS2_36178	NKIRAS2	28
KIAA0895_32591	KIAA0895	14
CLCN2_3347	CLCN2	18
CWC27_27627	CWC27	6
SMTNL2_69401	SMTNL2	27
NDUFAF6_60485	NDUFAF6	19
PTBP2_46489	PTBP2	17
CENPB_3031	CENPB	35
NPR1_12798	NPR1	19
BCL10_23404	BCL10	21
KIF6_65803	KIF6	24
PGD_13798	PGD	8
PI4KB_14003	PI4KB	19
RNASE11_58498	RNASE11	11
HILPDA_36794	HILPDA	2
NDUFB7_12339	NDUFB7	8
POU5F2_60226	POU5F2	9
RIN2_39944	RIN2	16
PTHLH_15370	PTHLH	23
KHK_10150	KHK	14
KLHL7_43825	KLHL7	7
WFS1_20248	WFS1	18
PIP_14014	PIP	20
EFNA4_5346	EFNA4	10
ZFYVE27_58081	ZFYVE27	25
CNTNAP1_22134	CNTNAP1	27
NONO_12695	NONO	23
F13B_5991	F13B	3
FBXL18_50640	FBXL18	10
PAH_13266	PAH	10
SLC30A10_42624	SLC30A10	31
SUGP2_27160	SUGP2	24
TMEM59L_33705	TMEM59L	19
KLK2_10216	KLK2	7
NUDT18_50219	NUDT18	26
RCAN1_5082	RCAN1	13
FZD4_21594	FZD4	19
PAFAH2_13257	PAFAH2	74
CUL3_21980	CUL3	20
KLRC1_10226	KLRC1	22
CISD2_73390	CISD2	30
NDUFAF6_60488	NDUFAF6	6
SDR42E1_56540	SDR42E1	8
DMRT2_28817	DMRT2	7
VAMP5_29176	VAMP5	25
ASCC1_37514	ASCC1	9
C17orf74_64860	C17orf74	20
LCAT_10527	LCAT	14
MED22_18525	MED22	22
NAA15_50809	NAA15	16
UCN_19913	UCN	2
USP50_70235	USP50	39
GSTM4_7901	GSTM4	25
WWTR1_34137	WWTR1	4
FBXO34_41368	FBXO34	39
SLC7A5_21335	SLC7A5	10
ZNF382_54451	ZNF382	8
CYP2D6_4383	CYP2D6	38
SLBP_21050	SLBP	17
SPDYC_70854	SPDYC	9
LRRC56_57485	LRRC56	15
FLOT2_6467	FLOT2	1
MROH8_60911	MROH8	5
NMNAT3_70016	NMNAT3	36
AUTS2_34465	AUTS2	11
ZNF14_20487	ZNF14	16
ZBBX_49807	ZBBX	17
LRRC45_64868	LRRC45	14
DNAH17_22499	DNAH17	25
SLC29A1_5609	SLC29A1	9
PRDM8_44751	PRDM8	20
PYGO1_34586	PYGO1	24
MEGF9_5388	MEGF9	21
MPDU1_25106	MPDU1	14
AXIN1_21564	AXIN1	37
PRELP_14728	PRELP	15
CCDC40_41391	CCDC40	20
ENTPD6_2687	ENTPD6	22
CCDC8_52741	CCDC8	15
TDG_18932	TDG	7
SLC30A3_20894	SLC30A3	11
MCM5_11246	MCM5	5
OCIAD2_60052	OCIAD2	36
PWP2_15565	PWP2	5
IL23A_39037	IL23A	23
IL22_37263	IL22	4
LAPTM4A_25809	LAPTM4A	53
METTL3_44231	METTL3	35
C1QB_1964	C1QB	17
ASXL2_42088	ASXL2	35
PPARA_14490	PPARA	14
U2AF1L4_64583	U2AF1L4	26
TAPBPL_41506	TAPBPL	24
LRRC43_66398	LRRC43	7
C6orf165_62894	C6orf165	11
OR52N4_71587	OR52N4	18
IRF8_9112	IRF8	9
ZNF776_67735	ZNF776	14
PINK1_48359	PINK1	21
MATR3_25960	MATR3	15
MIER1_46294	MIER1	17
PRPF18_22319	PRPF18	15
OSBPL8_57311	OSBPL8	23
NXT2_43736	NXT2	67
TMEM30A_43262	TMEM30A	46
C16orf91_67552	C16orf91	14
FGL1_6313	FGL1	25
CKM_3294	CKM	35
CCDC115_53464	CCDC115	3
C20orf203_67991	C20orf203	19
PABPN1_21298	PABPN1	17
USP17L29_74694	USP17L29	3
RTP1_60017	RTP1	29
SLC25A22_49845	SLC25A22	4
BCL2_1635	BCL2	31
ATP2A3_1374	ATP2A3	15
DFFA_4715	DFFA	36
PIP4K2B_21825	PIP4K2B	22
KRTAP5-6_72840	KRTAP5-6	41
RBM24_65854	RBM24	25
KCNA10_9972	KCNA10	19
LINGO3_73996	LINGO3	19
ATG5_24947	ATG5	10
RSAD1_42298	RSAD1	30
SATB2_32427	SATB2	9
HIST1H3B_21731	HIST1H3B	20
PAPPA2_46996	PAPPA2	52
SLC34A3_61097	SLC34A3	4
IMMP2L_52713	IMMP2L	11
PRDM2_20925	PRDM2	45
SPAM1_18041	SPAM1	29
DNAJB3_72737	DNAJB3	17
RMDN2_62503	RMDN2	13
TSC22D4_51841	TSC22D4	9
PTTG2_29049	PTTG2	30
TNXB_19435	TNXB	8
MMEL1_49138	MMEL1	21
ULBP1_51147	ULBP1	17
FLOT2_6468	FLOT2	39
LRBA_2787	LRBA	14
PCSK5_13457	PCSK5	60
C10orf76_49342	C10orf76	11
CYP51A1_4462	CYP51A1	28
PREB_27050	PREB	7
LRG1_57841	LRG1	16
MIA2_57894	MIA2	41
SPATA32_58815	SPATA32	26
GABRE_6780	GABRE	24
PPP3CA_14663	PPP3CA	18
HTR1B_9019	HTR1B	29
ANKMY2_44875	ANKMY2	21
SLC11A2_12831	SLC11A2	8
SCGB1C2_74323	SCGB1C2	20
ATP6V0D2_66188	ATP6V0D2	31
EBLN1_69267	EBLN1	12
LCN8_60577	LCN8	10
ZNF664-FAM101A_76170	ZNF664-FAM101A	36
CTAGE4_75167	CTAGE4	31
DOK7_68168	DOK7	12
CLPB_51720	CLPB	7
TEX264_38616	TEX264	29
ASTE1_36321	ASTE1	9
CHCHD1_58044	CHCHD1	19
ZC3H13_31700	ZC3H13	28
SPTLC1_28484	SPTLC1	11
PRSS58_60445	PRSS58	15
CYP26B1_44284	CYP26B1	57
OR8B4_67237	OR8B4	21
HOXA10_8662	HOXA10	26
PDE4A_13515	PDE4A	7
NAT8_23632	NAT8	18
KRT82_10409	KRT82	15
FBXW5_39972	FBXW5	6
C2orf27A_36630	C2orf27A	13
OR1C1_34729	OR1C1	13
RBFOX1_40431	RBFOX1	17
MATN4_22964	MATN4	16
ARF5_1090	ARF5	26
DHX37_46117	DHX37	5
SLC23A2_26578	SLC23A2	22
DHX38_25968	DHX38	2
SCUBE2_46367	SCUBE2	9
TAX1BP1_23308	TAX1BP1	16
DNAJC3_14950	DNAJC3	13
NXN_47665	NXN	29
P3H1_47504	P3H1	9
ABTB1_51137	ABTB1	7
TBC1D17_49792	TBC1D17	27
LHFPL3_70525	LHFPL3	10
UTP18_37784	UTP18	13
MTHFD2L_73043	MTHFD2L	20
OR7C1_35240	OR7C1	52
KRT16_10366	KRT16	3
METAP1D_66392	METAP1D	11
KCNIP1_37100	KCNIP1	27
PRORY_76164	PRORY	29
SPIC_58415	SPIC	37
STRADA_56207	STRADA	21
ZNF250_46608	ZNF250	15
ELP6_40795	ELP6	6
GJB2_7167	GJB2	22
AGRP_505	AGRP	36
ZNF597_61592	ZNF597	39
STK39_36096	STK39	20
SAP30BP_36524	SAP30BP	11
CHRNA1_3220	CHRNA1	14
OR51G2_51529	OR51G2	4
DOK7_68167	DOK7	33
HPS3_53546	HPS3	22
SLC34A3_61100	SLC34A3	25
CSRP2_4116	CSRP2	29
TRAPPC2L_39311	TRAPPC2L	22
ARHGAP26_31704	ARHGAP26	25
VSTM1_67841	VSTM1	5
CRY2_3933	CRY2	19
PPIB_14529	PPIB	19
CHGA_3152	CHGA	10
TMEM174_60247	TMEM174	22
KHDRBS1_28825	KHDRBS1	23
PRAMEF6_72960	PRAMEF6	8
CYP2C19_4365	CYP2C19	17
GPAT2_62399	GPAT2	15
ITIH6_69807	ITIH6	20
NOTCH4_12738	NOTCH4	8
TCEB3B_38170	TCEB3B	13
ZNF414_53504	ZNF414	12
LIN28A_49764	LIN28A	35
BTBD9_57173	BTBD9	27
WNT2_20264	WNT2	28
TMEM60_54743	TMEM60	26
PRPH2_15969	PRPH2	37
CRIM1_38196	CRIM1	22
PSKH2_55040	PSKH2	20
NFKBIB_12550	NFKBIB	11
ALDH16A1_59050	ALDH16A1	2
P4HB_13220	P4HB	11
ASAP1_37340	ASAP1	5
MARCKSL1_48420	MARCKSL1	26
ASPDH_73566	ASPDH	33
TANC2_34594	TANC2	39
RANBP3_22104	RANBP3	12
MYC_11994	MYC	30
CRYAA_3937	CRYAA	33
C1orf64_62197	C1orf64	22
METAP1D_66391	METAP1D	14
CLU_3379	CLU	3
CLEC11A_16865	CLEC11A	33
GJA5_7156	GJA5	6
IMPG2_37456	IMPG2	19
APOC2_969	APOC2	49
ZNF566_54498	ZNF566	25
ABCB11_22556	ABCB11	12
ADGRF1_67089	ADGRF1	37
TEX43_71350	TEX43	18
SLC22A1_17699	SLC22A1	13
PLK2_29118	PLK2	10
TTYH3_51263	TTYH3	9
GLIPR1L2_61302	GLIPR1L2	9
GAK_6814	GAK	6
MTRNR2L5_75790	MTRNR2L5	14
UBL7_54699	UBL7	39
NKPD1_67780	NKPD1	20
FOXP1_35534	FOXP1	34
GHRH_7119	GHRH	44
CDC37_30240	CDC37	1
ASAH2B_74287	ASAH2B	16
RAB39B_57755	RAB39B	23
ADNP2_30996	ADNP2	17
HDGFRP3_37354	HDGFRP3	9
ADCY5_291	ADCY5	47
WDR86_70001	WDR86	33
RSPH9_65789	RSPH9	11
SLC22A6_24585	SLC22A6	26
P2RY12_48112	P2RY12	9
SMR3B_29407	SMR3B	15
PREP_14731	PREP	35
CBLL1_50217	CBLL1	20
HEY1_32866	HEY1	16
FZR1_38563	FZR1	15
ZNF496_54264	ZNF496	10
HIST1H2BN_21661	HIST1H2BN	10
MYBBP1A_28334	MYBBP1A	21
GULP1_38801	GULP1	17
SYT12_55949	SYT12	12
ASB3_37910	ASB3	12
HOOK1_38589	HOOK1	19
DNAJC22_50479	DNAJC22	30
PIGY_54695	PIGY	26
METTL2B_43412	METTL2B	11
RFX4_16073	RFX4	15
C15orf65_61477	C15orf65	14
STK33_48517	STK33	21
GFRA3_7082	GFRA3	4
ANKH_44103	ANKH	23
STAM_21192	STAM	31
NXNL1_57588	NXNL1	17
TTC30A_56108	TTC30A	21
ABHD6_45426	ABHD6	15
CHGA_3149	CHGA	11
CD84_23131	CD84	24
TMEM171_60244	TMEM171	17
TMEM110-MUSTN1_76032	TMEM110-MUSTN1	4
LRRC16B_55588	LRRC16B	6
IL21R_37261	IL21R	22
C5orf63_72382	C5orf63	21
C5orf52_75550	C5orf52	28
RPUSD1_56915	RPUSD1	12
SSTR4_18295	SSTR4	4
ATG2B_41569	ATG2B	40
ITGB2_9801	ITGB2	42
LARP7_39068	LARP7	31
SIK2_32175	SIK2	33
PM20D1_62079	PM20D1	16
FOXK1_65924	FOXK1	2
PRKAA1_14763	PRKAA1	13
PICK1_24908	PICK1	11
MYH7_12044	MYH7	11
BABAM1_36423	BABAM1	19
DFNA5_4727	DFNA5	14
ESYT3_52513	ESYT3	8
DPYD_5006	DPYD	8
TMEM199_61717	TMEM199	8
EMB_60155	EMB	11
USP19_29374	USP19	11
PLEKHG4B_62787	PLEKHG4B	14
ATCAY_54783	ATCAY	11
HLA-DPB1_8413	HLA-DPB1	48
CACNA1S_2164	CACNA1S	25
CDKN2D_2952	CDKN2D	8
FILIP1_35676	FILIP1	20
TRAPPC4_38697	TRAPPC4	8
CASP4_2344	CASP4	18
ETNK1_42540	ETNK1	11
SLC38A6_61416	SLC38A6	29
ITGB6_9822	ITGB6	7
PDE8A_13555	PDE8A	9
ADAM11_11265	ADAM11	23
SMIM22_72924	SMIM22	13
FAM221B_72018	FAM221B	23
NUDT22_53418	NUDT22	6
USP3_26572	USP3	11
TRIT1_40609	TRIT1	6
TCF24_75227	TCF24	14
ATP6V1F_24425	ATP6V1F	8
IRF9_27885	IRF9	7
PIGG_40842	PIGG	10
RILP_52218	RILP	32
ITK_9852	ITK	21
RB1CC1_26087	RB1CC1	16
NR5A2_6605	NR5A2	23
SIRT2_31280	SIRT2	39
CSDE1_20949	CSDE1	9
FN3KRP_49587	FN3KRP	28
CLPS_3419	CLPS	17
MOGAT1_57716	MOGAT1	34
SIGLEC10_55116	SIGLEC10	37
RASD1_39235	RASD1	22
FBXO9_34891	FBXO9	35
DPH5_39140	DPH5	10
MLF1_11523	MLF1	68
RHBDD3_33771	RHBDD3	18
TAX1BP3_37158	TAX1BP3	22
DNAJC28_41085	DNAJC28	5
TMEM92_63523	TMEM92	10
DHRS13_61727	DHRS13	34
TERF1_18983	TERF1	12
FNDC3A_31028	FNDC3A	22
FAM105A_40058	FAM105A	11
RHBG_45064	RHBG	14
COG3_52221	COG3	1
MT1B_11809	MT1B	4
PCDHB13_43955	PCDHB13	17
CFL2_3069	CFL2	20
DMKN_56433	DMKN	14
SLC25A20_2196	SLC25A20	11
TSSK3_51844	TSSK3	31
DYDC2_53514	DYDC2	31
RPL36A-HNRNPH2_76104	RPL36A-HNRNPH2	5
UROS_20043	UROS	10
HIST1H2BJ_23493	HIST1H2BJ	39
MCU_55529	MCU	6
CEBPZ_27180	CEBPZ	6
DEAF1_28361	DEAF1	8
MEA1_11307	MEA1	26
CFAP52_61670	CFAP52	19
SNCG_17852	SNCG	10
CLIC1_3381	CLIC1	12
RNF212B_75990	RNF212B	8
RPS6KC1_35300	RPS6KC1	12
NTM_37444	NTM	16
CCL11_16985	CCL11	15
PTPN18_35025	PTPN18	19
UFL1_32619	UFL1	10
VAMP2_18548	VAMP2	4
ADAR_266	ADAR	22
CAPS2_54068	CAPS2	31
PAX2_13328	PAX2	31
EPM2AIP1_26186	EPM2AIP1	18
SIGLEC12_55176	SIGLEC12	25
KIAA1107_32342	KIAA1107	27
AK7_58471	AK7	29
PLA2G7_21112	PLA2G7	21
USP17L29_74696	USP17L29	3
HNRNPA1_8574	HNRNPA1	2
WFIKKN2_58840	WFIKKN2	3
TRIO_19585	TRIO	19
ANKLE1_59182	ANKLE1	47
CSGALNACT2_42525	CSGALNACT2	47
SKA3_65706	SKA3	8
N4BP1_25599	N4BP1	7
PSME3_27316	PSME3	1
PPP6R2_25666	PPP6R2	13
CNTF_3535	CNTF	11
CCR7_3464	CCR7	16
RASSF8_30532	RASSF8	21
TAPBPL_41505	TAPBPL	23
ARL17A_38514	ARL17A	5
C2orf69_65163	C2orf69	13
OR2K2_34833	OR2K2	26
BOLL_48619	BOLL	30
MGAM2_56519	MGAM2	26
CYB561_4307	CYB561	9
SFXN2_58103	SFXN2	23
C21orf58_39742	C21orf58	8
PLEKHD1_72186	PLEKHD1	53
CCT5_31313	CCT5	13
PMEPA1_44635	PMEPA1	30
SFT2D3_54247	SFT2D3	38
CENPU_49620	CENPU	5
OR6T1_65421	OR6T1	11
ABHD16B_60917	ABHD16B	7
ELFN1_72058	ELFN1	26
CBWD5_65621	CBWD5	3
ADGRL1_31022	ADGRL1	8
TOR1B_36101	TOR1B	30
OR10Q1_65475	OR10Q1	18
OR6C6_67326	OR6C6	12
ECM1_5253	ECM1	35
SYMPK_21375	SYMPK	13
C9orf78_39444	C9orf78	6
ZNF224_20851	ZNF224	25
CATSPER1_57886	CATSPER1	16
HCFC2_36774	HCFC2	7
GALNT11_47134	GALNT11	24
PDGFA_13565	PDGFA	17
DNAJC12_44273	DNAJC12	12
TOP2A_19443	TOP2A	3
CD8B_2595	CD8B	18
CBY1_33679	CBY1	9
RBM4_15917	RBM4	9
BATF3_42577	BATF3	11
TRPM1_11579	TRPM1	23
TTC24_63752	TTC24	26
KRT83_10415	KRT83	18
PTTG2_29050	PTTG2	8
DNAJB13_70284	DNAJB13	1
FLT4_6481	FLT4	8
SRPK1_18222	SRPK1	36
PSMC6_15236	PSMC6	4
CHRNA9_42711	CHRNA9	13
RPL19_16366	RPL19	8
ZNF678_68973	ZNF678	25
PARP9_52354	PARP9	17
LYPLA1_28065	LYPLA1	28
CROCC_25645	CROCC	7
PNPLA3_51174	PNPLA3	10
NKX6-1_12644	NKX6-1	21
TAB1_28132	TAB1	32
DPP6_4999	DPP6	11
DNHD1_61280	DNHD1	12
PDHB_13598	PDHB	20
BNIP3_1829	BNIP3	12
DEFB4B_75717	DEFB4B	21
IRF8_9111	IRF8	9
NT5DC3_39028	NT5DC3	20
CERS4_49370	CERS4	13
PHF3_32888	PHF3	18
SUGP1_46390	SUGP1	1
ZNF324B_71091	ZNF324B	12
CPNE2_65718	CPNE2	5
TPM4_19506	TPM4	17
WNT5A_20270	WNT5A	15
ARG2_1104	ARG2	36
ATG14_31034	ATG14	22
FMNL1_2071	FMNL1	6
LMX1B_10736	LMX1B	18
DCLK1_24162	DCLK1	25
METTL1_11390	METTL1	7
C21orf62_44139	C21orf62	45
TCEA3_18798	TCEA3	14
IFNG_9267	IFNG	40
LILRB5_29777	LILRB5	23
EDEM1_25644	EDEM1	66
HK2_8367	HK2	13
PPT2_24645	PPT2	42
C12orf40_67382	C12orf40	7
COPB2_24379	COPB2	4
LIPI_62246	LIPI	5
ESRP1_40745	ESRP1	12
SP2_18015	SP2	20
C1orf123_41236	C1orf123	19
TMEM131_32973	TMEM131	7
CALCRL_27338	CALCRL	6
KIAA0226_25703	KIAA0226	8
PIK3R5_33080	PIK3R5	17
MLLT4_11562	MLLT4	24
IKBKG_22170	IKBKG	33
AURKAIP1_41271	AURKAIP1	11
AGRN_70563	AGRN	14
A2ML1_61352	A2ML1	20
CCDC64B_61593	CCDC64B	32
RNF31_41486	RNF31	21
STARD10_29235	STARD10	12
PLAGL2_14093	PLAGL2	25
CAAP1_50262	CAAP1	13
PRR36_50822	PRR36	10
INPP5D_9638	INPP5D	9
UBAP1_38313	UBAP1	14
USP17L12_75595	USP17L12	8
TAF1A_23591	TAF1A	20
SLC31A1_3688	SLC31A1	9
KNSTRN_55468	KNSTRN	12
MAP4K3_22077	MAP4K3	39
NHLRC3_70905	NHLRC3	40
GDI2_7047	GDI2	14
HTR3B_24097	HTR3B	14
TMEM86A_61265	TMEM86A	15
CCDC177_44633	CCDC177	5
CDH6_2852	CDH6	41
ELSPBP1_47369	ELSPBP1	11
EIF3L_38668	EIF3L	3
CELA1_5474	CELA1	19
RERE_1318	RERE	21
HADHB_8158	HADHB	18
ZNF846_63598	ZNF846	31
MTRNR2L10_75806	MTRNR2L10	27
ARNT_1173	ARNT	28
SIX5_61890	SIX5	22
RILP_52216	RILP	22
TOX4_26280	TOX4	12
ZDHHC14_49626	ZDHHC14	8
KCNH3_32758	KCNH3	17
VPS26B_56890	VPS26B	5
DOHH_52162	DOHH	5
CDC42SE1_44452	CDC42SE1	29
C10orf54_47413	C10orf54	11
CYTH3_24351	CYTH3	10
PAPD7_29942	PAPD7	45
HRASLS_45010	HRASLS	36
SCNN1B_16925	SCNN1B	44
YTHDC1_55974	YTHDC1	10
LRIF1_43392	LRIF1	5
ETNK2_41992	ETNK2	15
PRRT3_68138	PRRT3	43
ZMYM6_24176	ZMYM6	5
ISPD_75006	ISPD	11
TXNDC17_54233	TXNDC17	33
CILP2_61953	CILP2	22
CRHBP_3887	CRHBP	22
RTEL1_39424	RTEL1	8
DLG5_24254	DLG5	24
MYH14_49932	MYH14	8
MAPK1IP1L_56532	MAPK1IP1L	45
NR1D1_25250	NR1D1	41
CORO1C_33291	CORO1C	32
QTRTD1_49645	QTRTD1	17
WNK1_48451	WNK1	9
RASIP1_41007	RASIP1	81
ADAM23_22870	ADAM23	28
CD83_24435	CD83	78
KCTD4_70645	KCTD4	9
EIF5_5466	EIF5	2
OPN4_56732	OPN4	28
NME1_12658	NME1	32
PSMG2_44771	PSMG2	11
VPS26B_56891	VPS26B	5
PKD1L2_57171	PKD1L2	8
KATNAL1_52784	KATNAL1	24
EPS8L3_49295	EPS8L3	19
FAM84B_63025	FAM84B	35
ADAMTS10_51917	ADAMTS10	27
TOP1_19438	TOP1	19
RNPC3_42745	RNPC3	15
TFAP2C_19016	TFAP2C	6
CRK_3906	CRK	9
THSD7A_65939	THSD7A	5
ZNF610_63569	ZNF610	22
YME1L1_29004	YME1L1	9
SF3A2_21361	SF3A2	14
TP53TG5_35965	TP53TG5	18
HIST2H2BF_72985	HIST2H2BF	33
SPRYD3_54506	SPRYD3	3
TAAR8_52234	TAAR8	12
PALMD_40846	PALMD	31
OR2M2_71961	OR2M2	23
CCDC114_56481	CCDC114	13
PTPN1_15416	PTPN1	24
CXXC1_37106	CXXC1	12
NOS2_12701	NOS2	10
CD82_9936	CD82	17
ACBD3_47934	ACBD3	15
GFRA1_7073	GFRA1	33
MAP2K2_14926	MAP2K2	13
DCP1B_64443	DCP1B	27
TIMM50_56294	TIMM50	5
CNGB1_3486	CNGB1	13
DDX19A_42271	DDX19A	7
KRTAP4-11_74268	KRTAP4-11	14
TOP1MT_57765	TOP1MT	53
DYNLL2_60955	DYNLL2	9
DHRSX_65194	DHRSX	4
KCNA10_9970	KCNA10	10
PRICKLE1_61282	PRICKLE1	27
POLR2I_14393	POLR2I	11
MTOR_6582	MTOR	5
STX17_41326	STX17	39
CDADC1_51752	CDADC1	21
UQCRC2_20025	UQCRC2	2
ZNF785_61601	ZNF785	24
PDE4D_13526	PDE4D	19
GSPT1_7864	GSPT1	9
HIST2H2AA4_74467	HIST2H2AA4	5
UBR5_38610	UBR5	15
DEFB134_73621	DEFB134	17
IHH_9362	IHH	19
TMEM8A_46710	TMEM8A	6
KIF1A_1509	KIF1A	39
EPS8L2_48065	EPS8L2	28
ZSWIM6_46219	ZSWIM6	19
CYTIP_25324	CYTIP	16
LOC730159_75053	LOC730159	49
TMEM130_66068	TMEM130	6
TOB2_29106	TOB2	11
ACSM2A_58665	ACSM2A	11
IL2_9394	IL2	64
